Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
396	Polytechnic University of Tirana		HEI	"http://www.upt.al	"	Y						AL	IAU-019911	IMPORT~27/02/20																	Universiteti Politeknik i Tiranës											
397	Tirana University of Sport		HEI	"http://www.ust.edu.al	"	Y						AL	IAU-019904	IMPORT~27/02/20																	Universiteti i Sporteve të Tiranës											
398	University College Bedër		HEI	"http://beder.edu.al	"	Y						AL	IAU-023044	IMPORT~27/02/20																	Kolegji Universitar Bedër											
399	University of Arts		HEI	"http://www.artacademy.al	"	Y						AL	IAU-000633	IMPORT~27/02/20																	Universiteti i Arteve											
400	University of New York at Tirana		HEI	"http://www.unyt.edu.al	"	Y						AL	IAU-020336	IMPORT~27/02/20																	Universiteti i New York-ut në Tiranë											
401	University of Tirana		HEI	"http://www.unitir.edu.al	"	Y						AL	IAU-019905	IMPORT~27/02/20																	Universiteti i Tiranës											
402	University of Vlora 'Ismail Qemali'		HEI	"http://univlora.edu.al	"	Y						AL	IAU-019906	IMPORT~27/02/20																	Universiteti i Vlorës 'Ismail Qemali'											
403	American University of Armenia		HEI	"http://www.aua.am	"	Y						AM	IAU-007104	IMPORT~27/02/20																	Hayastani Amerikyan Hamalsaran											
404	Armenian Medical Institute		HEI	"http://www.armedin.com	"	Y						AM	IAU-006936	IMPORT~27/02/20																	Haikakan Bžhshkakan Hamalsaran											
405	Armenian State Agrarian University		HEI	"http://www.anau.am	"	Y						AM	IAU-007106	IMPORT~27/02/20																	Hayastani Petakan Agrarayin Hamalsaran											
223	University of Mons		HEI	"http://www.umons.ac.be	"	Y						BE	IAU-019622	IMPORT~27/02/20																	Université de Mons											
224	Paris Nanterre University		HEI	"https://www.parisnanterre.fr	"	Y						FR	IAU-019799	IMPORT~27/02/20																	Université Paris Nanterre											
225	Paris Observatory		HEI	"https://www.obspm.fr/-observatoire-de-paris-.html?lang=fr	"	Y						FR	STA-00225	IMPORT~27/02/20																	 l'Observatoire de Paris											
226	Paris Diderot University		HEI	"https://www.univ-paris-diderot.fr/	"	Y						FR	STA-00226	IMPORT~27/02/20																	Université Paris Diderot											
227	University of Primorska		HEI	"http://www.upr.si	"	Y						SI	IAU-020663	IMPORT~27/02/20																	Univerza na Primorskem Universita' del Litorale											
228	University of São Paulo		HEI	"http://www.usp.br	"	Y						BR	IAU-018566	IMPORT~27/02/20																	Universidade de São Paulo											
335	RAK Medical and Health Sciences University		HEI	"http://www.rakmhsu.com/	"	Y						AE	IAU-013894	IMPORT~27/02/20																	RAK Medical and Health Sciences University											
336	Skyline University College		HEI	"http://www.skylineuniversity.com/	"	Y						AE	IAU-015477	IMPORT~27/02/20																	Skyline University College											
337	The British University in Dubai		HEI	"http://www.buid.ac.ae	"	Y						AE	IAU-016402	IMPORT~27/02/20																	The British University in Dubai											
338	The Petroleum Institute		HEI	"http://www.pi.ac.ae	"	Y						AE	IAU-016533	IMPORT~27/02/20																	The Petroleum Institute											
